config,seed,restart,init_cost,final_cost,improvement_pct,time_s,op_ChangeRoom,op_ChangeDay,op_ChangeOT,op_Relocate,op_SwapRooms,op_SwapDays,op_ToggleOpt,op_ChangeNurse
all,42,1,47366,44087,6.92,1.838,68,0,45,42,47,18,0,0
all,42,2,46881,43648,6.90,1.576,48,0,47,24,41,18,1,0
all,42,3,46593,43410,6.83,2.094,72,0,40,26,52,17,0,0
all,42,4,47278,43382,8.24,2.067,52,1,39,27,67,19,4,0
all,42,5,46184,43387,6.06,1.423,56,1,41,13,36,14,1,0
all,43,1,45495,41725,8.29,2.059,67,0,38,31,59,22,3,0
all,43,2,45232,42825,5.32,1.910,59,0,41,32,34,17,0,0
all,43,3,45672,42674,6.56,1.735,60,0,37,24,43,15,2,0
all,43,4,46599,43260,7.17,1.582,46,0,43,38,35,24,2,0
all,43,5,45984,41993,8.68,1.908,60,2,55,23,61,24,4,0
all,44,1,47555,43585,8.35,1.799,57,1,50,30,53,26,5,0
all,44,2,47698,44546,6.61,2.490,68,0,49,22,57,18,1,0
all,44,3,47126,43115,8.51,2.103,73,0,42,28,60,22,1,0
all,44,4,46353,43020,7.19,1.751,72,0,42,22,34,27,3,0
all,44,5,47389,43751,7.68,1.715,55,0,39,24,48,11,2,0
all,45,1,47883,44700,6.65,1.836,60,0,35,32,57,28,1,0
all,45,2,46159,42030,8.95,2.042,61,0,42,34,54,22,1,0
all,45,3,47384,44497,6.09,1.430,50,1,32,19,40,15,1,0
all,45,4,46474,43730,5.90,1.522,53,0,43,30,42,19,1,0
all,45,5,46201,43679,5.46,1.744,65,0,34,23,41,12,0,0
all,46,1,46206,42186,8.70,1.986,56,0,39,24,50,25,7,0
all,46,2,46678,42920,8.05,1.993,70,1,50,46,65,25,1,0
all,46,3,45921,43030,6.30,1.605,42,0,50,40,27,13,3,0
all,46,4,47476,43953,7.42,1.717,39,1,45,30,37,21,3,0
all,46,5,45802,41723,8.91,1.756,53,1,51,34,35,21,6,0
no_LS,42,1,47366,47366,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,42,2,45865,45865,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,42,3,46699,46699,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,42,4,46459,46459,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,42,5,46412,46412,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,43,1,45495,45495,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,43,2,47310,47310,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,43,3,47820,47820,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,43,4,46650,46650,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,43,5,46315,46315,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,44,1,47555,47555,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,44,2,46791,46791,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,44,3,46858,46858,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,44,4,45371,45371,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,44,5,45679,45679,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,45,1,47883,47883,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,45,2,46691,46691,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,45,3,45663,45663,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,45,4,46305,46305,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,45,5,46318,46318,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,46,1,46206,46206,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,46,2,47144,47144,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,46,3,46274,46274,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,46,4,47738,47738,0.00,0.000,0,0,0,0,0,0,0,0
no_LS,46,5,47688,47688,0.00,0.000,0,0,0,0,0,0,0,0
no_ChangeRoom,42,1,47366,43853,7.42,1.637,0,0,65,56,86,24,1,0
no_ChangeRoom,42,2,46762,43229,7.56,1.532,0,1,57,51,77,25,3,0
no_ChangeRoom,42,3,46434,43654,5.99,1.210,0,3,41,28,58,12,3,0
no_ChangeRoom,42,4,46391,43197,6.88,1.528,0,0,60,47,62,36,1,0
no_ChangeRoom,42,5,45776,42701,6.72,1.689,0,0,50,46,74,19,0,0
no_ChangeRoom,43,1,45495,41769,8.19,1.782,0,2,56,54,84,21,4,0
no_ChangeRoom,43,2,46636,42466,8.94,1.745,0,1,59,53,74,36,2,0
no_ChangeRoom,43,3,45863,42437,7.47,1.585,0,0,58,55,61,35,1,0
no_ChangeRoom,43,4,46176,41968,9.11,1.727,0,3,52,53,86,41,4,0
no_ChangeRoom,43,5,47469,44050,7.20,1.489,0,0,59,52,61,21,1,0
no_ChangeRoom,44,1,47555,43475,8.58,1.327,0,1,53,57,57,27,7,0
no_ChangeRoom,44,2,46486,43081,7.32,1.603,0,0,56,58,65,22,1,0
no_ChangeRoom,44,3,46187,42432,8.13,1.704,0,1,61,48,72,26,2,0
no_ChangeRoom,44,4,46785,43199,7.66,1.621,0,0,69,64,61,29,1,0
no_ChangeRoom,44,5,46976,43661,7.06,1.624,0,1,60,49,73,30,2,0
no_ChangeRoom,45,1,47883,44429,7.21,1.321,0,0,60,48,61,15,2,0
no_ChangeRoom,45,2,46469,43149,7.14,1.722,0,1,66,54,64,21,1,0
