instance,source,feasible,cost_total,scheduled,mandatory,optional,room_cap,gender_mix,mixed_age,delay,unscheduled_opt,surg_ot,ot_ot,open_ot,nurse_skill,nurse_work,continuity,surg_transfer
i01,ours,true,3787,20,0,20,0,0,25,0,2800,0,0,240,320,320,82,0
i01,best,true,3576,20,0,20,0,0,15,0,2800,0,0,240,370,40,111,0
i02,ours,true,637,37,12,25,0,0,10,0,0,0,0,270,130,100,117,10
i02,best,true,869,37,12,25,0,0,5,0,0,0,0,240,220,260,144,0
i03,ours,true,10050,22,7,15,0,0,20,0,9200,0,0,400,100,15,315,0
i03,best,true,8705,26,7,19,0,0,0,0,7600,0,0,400,180,85,440,0
i04,ours,true,599,54,36,18,0,0,60,0,0,0,0,300,69,45,125,0
i04,best,true,1167,54,36,18,0,0,20,0,0,0,0,280,191,380,296,0
i05,ours,true,10401,55,6,49,0,0,85,0,9500,0,0,560,90,0,156,10
i05,best,true,9731,59,6,53,0,0,5,0,8500,0,0,480,270,210,266,0
i06,ours,true,10951,36,28,8,0,0,22,0,10350,0,0,280,31,140,108,20
i06,best,true,10442,39,28,11,0,0,12,0,9900,0,0,240,64,75,151,0
i07,ours,true,2242,79,25,54,0,0,130,0,0,0,0,440,380,355,930,7
i07,best,true,3051,79,25,54,0,0,60,0,0,0,0,360,860,450,1320,1
i08,ours,true,3502,174,138,36,0,0,195,0,0,0,0,1960,20,402,825,100
i08,best,true,5575,172,138,34,0,0,85,0,400,0,0,1640,1290,1003,1087,70
i09,ours,true,2589,96,7,89,0,0,60,0,0,0,0,520,70,309,1540,90
i09,best,true,2484,96,7,89,0,0,75,0,0,0,0,440,177,237,1555,0
i10,ours,true,24180,102,49,53,0,0,265,0,16200,0,0,540,725,4160,2255,35
i10,best,true,18585,114,49,65,0,0,120,0,12600,0,0,460,1720,1200,2485,0
i11,ours,true,28801,56,28,28,0,0,10,0,28000,0,0,600,41,40,110,0
i11,best,true,25737,63,28,35,0,0,2,0,24500,0,0,570,114,340,211,0
i12,ours,true,12634,90,74,16,0,0,69,0,6200,0,0,870,590,2560,2290,55
i12,best,true,12074,92,74,18,0,0,69,0,5800,0,0,810,2170,910,2290,25
i13,ours,true,14986,106,27,79,0,0,240,0,11500,0,0,370,98,663,2065,50
i13,best,true,8509,118,27,91,0,0,190,0,5500,0,0,300,275,364,1840,40
i14,ours,true,9767,124,79,45,0,0,47,0,4900,0,0,1400,85,1005,2315,15
i14,best,true,7865,127,79,48,0,0,46,0,3850,0,0,1150,318,475,2020,6
i15,ours,true,11490,135,44,91,0,0,100,0,3850,0,0,420,200,4060,2755,105
i15,best,true,7395,139,44,95,0,0,85,0,2450,0,0,360,955,1150,2380,15
i16,ours,true,14015,131,125,6,0,0,88,0,10350,0,0,1520,630,721,601,105
i16,best,true,8369,146,125,21,0,0,112,0,3600,0,0,1400,1490,1044,693,30
i17,ours,true,48095,282,22,260,0,0,845,0,21500,0,0,2880,2590,12360,7515,405
i17,best,true,32185,297,22,275,0,0,290,0,14000,0,0,2220,5690,2890,6980,115
i18,ours,true,41875,129,61,68,0,0,205,0,38400,0,0,990,89,1640,523,28
i18,best,true,36163,146,61,85,0,0,5,0,33300,0,0,750,204,1200,702,2
i19,ours,true,28242,336,67,269,0,0,262,0,5750,0,0,4140,830,6280,9560,1420
i19,best,true,41675,244,67,177,0,0,180,0,28750,0,0,1770,3010,1605,6190,170
i20,ours,true,37584,132,108,24,0,0,79,0,28000,0,0,1680,520,6760,528,17
i20,best,true,28001,147,108,39,0,0,79,0,20500,0,0,1400,3060,2260,697,5
i21,ours,true,27703,254,37,217,0,0,170,0,10000,0,0,4350,680,6355,6070,78
i21,best,true,17844,269,37,232,0,0,138,0,6250,0,0,2850,2180,1800,4585,41
i22,ours,true,80976,301,199,102,0,0,229,0,48600,0,0,2540,204,20780,8510,113
i22,best,true,42151,346,199,147,0,0,166,0,28350,0,0,1780,1186,3490,7090,89
i23,ours,true,26443,357,157,200,0,0,254,0,13800,0,0,1120,420,1343,9365,141
i23,best,true,32065,318,157,161,0,0,182,0,21600,0,0,650,1830,1294,6500,9
i24,ours,true,39267,347,306,41,0,0,189,0,33600,0,0,1280,97,1152,1579,1370
i24,best,true,31648,362,306,56,0,0,4,0,28350,0,0,750,595,337,1572,40
i25,ours,true,10702,209,19,190,0,0,595,0,3150,0,0,1360,71,811,4370,345
i25,best,true,7813,213,19,194,0,0,80,0,2550,0,0,1040,330,433,3335,45
i26,ours,true,80566,382,195,187,0,0,278,0,47000,0,0,1500,233,20230,10380,945
i26,best,true,51172,408,195,213,0,0,317,0,34000,0,0,860,1150,4720,10035,90
i27,ours,true,82845,401,123,278,0,0,351,0,46000,0,0,4710,1050,26620,2324,1790
i27,best,true,44748,445,123,322,0,0,320,0,24000,0,0,3240,8400,6080,2338,370
i28,ours,true,80056,227,192,35,0,0,138,0,70200,0,0,4000,235,748,4350,385
i28,best,true,71727,241,192,49,0,0,66,0,63900,0,0,2600,760,711,3645,45
i29,ours,true,15555,231,56,175,0,0,745,0,9900,0,0,1000,136,1785,1149,840
i29,best,true,7316,249,56,193,0,0,125,0,4500,0,0,720,590,390,921,70
i30,ours,true,35135,314,212,102,0,0,1090,0,18800,0,0,4280,860,2207,7755,143
i30,best,true,32734,306,212,94,0,0,205,0,20400,0,0,2680,1690,2369,5350,40
