instance,best_violations,best_cost,aco_violations,aco_cost,random_violations,random_cost,aco_gap_pct,random_gap_pct,aco_minus_random
i01,0,3842,0,4640,0,4833,20.77,25.79,-193
i02,0,1264,0,1840,0,1960,45.57,55.06,-120
i03,0,10490,0,11335,0,11675,8.06,11.30,-340
i04,0,1884,0,4822,0,4590,155.94,143.63,232
i05,0,12760,0,15660,0,16596,22.73,30.06,-936
i06,0,10671,0,11551,0,11744,8.25,10.06,-193
i07,0,5026,0,8098,0,8595,61.12,71.01,-497
i08,0,6291,0,15615,0,13199,148.21,109.81,2416
i09,0,6682,0,10211,0,10212,52.81,52.83,-1
i10,0,20820,0,27965,0,29400,34.32,41.21,-1435
i11,0,25938,0,31341,0,31039,20.83,19.67,302
i12,0,12430,0,16655,0,17345,33.99,39.54,-690
i13,0,17328,0,24594,0,25879,41.93,49.35,-1285
i14,0,9746,0,14676,0,15551,50.58,59.56,-875
i15,0,12486,0,21094,0,22453,68.94,79.83,-1359
i16,0,10139,0,17752,0,18287,75.09,80.36,-535
i17,0,40535,0,69980,0,74330,72.64,83.37,-4350
i18,0,37660,0,48738,0,50519,29.42,34.14,-1781
i19,0,44587,0,79885,0,80118,79.17,79.69,-233
i20,0,29098,0,40989,0,42876,40.87,47.35,-1887
i21,0,24703,0,40021,0,42533,62.01,72.18,-2512
i22,0,47861,0,88489,0,95334,84.89,99.19,-6845
i23,0,37550,0,68338,0,67848,81.99,80.69,490
i24,0,33221,0,42999,0,44425,29.43,33.73,-1426
i25,0,11517,0,17595,0,19285,52.77,67.45,-1690
i26,0,64613,0,107079,0,107646,65.72,66.60,-567
i27,0,51828,0,99816,0,106586,92.59,105.65,-6770
i28,0,75172,0,88297,0,90065,17.46,19.81,-1768
i29,0,12475,0,22605,0,23126,81.20,85.38,-521
i30,0,37943,0,57785,0,58804,52.29,54.98,-1019
