instance,best_cost,final_cost,random_cost,final_gap_pct,random_gap_pct,final_minus_random
i01,3842,4055,4545,5.54,18.30,-490
i02,1264,1457,1723,15.27,36.31,-266
i03,10490,10885,11505,3.77,9.68,-620
i04,1884,2618,3300,38.96,75.16,-682
i05,12760,13479,15025,5.63,17.75,-1546
i06,10671,10916,11542,2.30,8.16,-626
i07,5026,6269,7507,24.73,49.36,-1238
i08,6291,9162,9649,45.64,53.38,-487
i09,6682,8525,10187,27.58,52.45,-1662
i10,20820,23805,29675,14.34,42.53,-5870
i11,25938,26984,30837,4.03,18.89,-3853
i12,12430,14381,16232,15.70,30.59,-1851
i13,17328,22207,26696,28.16,54.06,-4489
i14,9746,12018,15190,23.31,55.86,-3172
i15,12486,16604,21806,32.98,74.64,-5202
i16,10139,13053,16138,28.74,59.17,-3085
i17,40535,58970,69300,45.48,70.96,-10330
i18,37660,41767,48643,10.91,29.16,-6876
i19,44587,64556,71657,44.79,60.71,-7101
i20,29098,36159,41372,24.27,42.18,-5213
i21,24703,34550,40040,39.86,62.09,-5490
i22,47861,77249,95677,61.40,99.91,-18428
i23,37550,55994,60958,49.12,62.34,-4964
i24,33221,40472,43368,21.83,30.54,-2896
i25,11517,15933,18130,38.34,57.42,-2197
i26,64613,94484,108202,46.23,67.46,-13718
i27,51828,85904,99361,65.75,91.71,-13457
i28,75172,83907,88018,11.62,17.09,-4111
i29,12475,17883,22417,43.35,79.70,-4534
i30,37943,48723,53188,28.41,40.18,-4465
