instance,best_cost,postfix_cost,abc_cost,gap_post_pct,gap_abc_pct,delta,delta_pct
i01,3842,4444,4394,15.67,14.37,-50,-1.13
i02,1264,1680,1598,32.91,26.42,-82,-4.88
i03,10490,11450,11440,9.15,9.06,-10,-0.09
i04,1884,3153,3136,67.36,66.45,-17,-0.54
i05,12760,14878,14671,16.6,14.98,-207,-1.39
i06,10671,11556,11568,8.29,8.41,12,0.1
i07,5026,7041,6781,40.09,34.92,-260,-3.69
i08,6291,9143,9146,45.33,45.38,3,0.03
i09,6682,9429,9332,41.11,39.66,-97,-1.03
i10,20820,27960,27665,34.29,32.88,-295,-1.06
i11,25938,30960,30980,19.36,19.44,20,0.06
i12,12430,15690,15429,26.23,24.13,-261,-1.66
i13,17328,25321,24187,46.13,39.58,-1134,-4.48
i14,9746,14305,14042,46.78,44.08,-263,-1.84
i15,12486,20016,19471,60.31,55.94,-545,-2.72
i16,10139,16247,15999,60.24,57.8,-248,-1.53
i17,40535,64695,64620,59.6,59.42,-75,-0.12
i18,37660,48250,47973,28.12,27.38,-277,-0.57
i19,44587,59297,64291,32.99,44.19,4994,8.42
i20,29098,40670,40271,39.77,38.4,-399,-0.98
i21,24703,37577,36823,52.12,49.06,-754,-2.01
i22,47861,90583,89446,89.26,86.89,-1137,-1.26
i23,37550,50114,54091,33.46,44.05,3977,7.94
i24,33221,43565,43562,31.14,31.13,-3,-0.01
i25,11517,17113,17167,48.59,49.06,54,0.32
i26,64613,105376,104347,63.09,61.5,-1029,-0.98
i27,51828,99090,97180,91.19,87.5,-1910,-1.93
i28,75172,88291,88545,17.45,17.79,254,0.29
i29,12475,22443,21731,79.9,74.2,-712,-3.17
i30,37943,48141,48046,26.88,26.63,-95,-0.2
