instance,best,postfix,POLISH,HYBRID,gap_POLISH_pct,gap_HYBRID_pct,HYBRID_minus_POLISH,HYBRID_minus_postfix
i01,3842,4444,4069,4055,5.91,5.54,-14,-389
i02,1264,1680,1510,1457,19.46,15.27,-53,-223
i03,10490,11450,11015,10885,5.0,3.77,-130,-565
i04,1884,3153,2676,2618,42.04,38.96,-58,-535
i05,12760,14878,13775,13479,7.95,5.63,-296,-1399
i06,10671,11556,11043,10916,3.49,2.3,-127,-640
i07,5026,7041,6401,6269,27.36,24.73,-132,-772
i08,6291,9143,8535,9162,35.67,45.64,627,19
i09,6682,9429,8522,8525,27.54,27.58,3,-904
i10,20820,27960,23690,23805,13.78,14.34,115,-4155
i11,25938,30960,27418,26984,5.71,4.03,-434,-3976
i12,12430,15690,14655,14381,17.9,15.7,-274,-1309
i13,17328,25321,22589,22207,30.36,28.16,-382,-3114
i14,9746,14305,12205,12018,25.23,23.31,-187,-2287
i15,12486,20016,17251,16604,38.16,32.98,-647,-3412
i16,10139,16247,16166,13053,59.44,28.74,-3113,-3194
i17,40535,64695,59705,58970,47.29,45.48,-735,-5725
i18,37660,48250,43536,41767,15.6,10.91,-1769,-6483
i19,44587,59297,65116,64556,46.04,44.79,-560,5259
i20,29098,40670,35891,36159,23.35,24.27,268,-4511
i21,24703,37577,34249,34550,38.64,39.86,301,-3027
i22,47861,90583,81750,77249,70.81,61.4,-4501,-13334
i23,37550,50114,53139,55994,41.52,49.12,2855,5880
i24,33221,43565,41535,40472,25.03,21.83,-1063,-3093
i25,11517,17113,15974,15933,38.7,38.34,-41,-1180
i26,64613,105376,97904,94484,51.52,46.23,-3420,-10892
i27,51828,99090,89455,85904,72.6,65.75,-3551,-13186
i28,75172,88291,85546,83907,13.8,11.62,-1639,-4384
i29,12475,22443,19554,17883,56.75,43.35,-1671,-4560
i30,37943,48141,47114,48723,24.17,28.41,1609,582
