instance,best,postfix,n,min,max,mean,std,gap_min_pct,gap_mean_pct,gap_max_pct,seed_42,seed_137,seed_991,seed_5043,seed_7919
i01,3842,4444,5,3981,4084,4030.8,47.8,3.62,4.91,6.3,4084,3981,4080,4001,4008
i02,1264,1680,5,1454,1505,1476.6,19.86,15.03,16.82,19.07,1483,1454,1505,1479,1462
i03,10490,11450,5,10725,10890,10841,68.32,2.24,3.35,3.81,10890,10725,10885,10870,10835
i04,1884,3153,5,2520,2653,2590.6,50.0,33.76,37.51,40.82,2588,2520,2619,2653,2573
i05,12760,14878,5,13520,13612,13565.4,37.36,5.96,6.31,6.68,13520,13595,13550,13550,13612
i06,10671,11556,5,10996,11121,11057,57.0,3.05,3.62,4.22,11103,11121,11002,11063,10996
i07,5026,7041,5,6230,6442,6349,80.62,23.96,26.32,28.17,6230,6442,6333,6402,6338
i08,6291,9143,5,8808,9219,9013.6,158.79,40.01,43.28,46.54,9219,9106,9010,8808,8925
i09,6682,9429,5,8240,8743,8469.8,185.23,23.32,26.76,30.84,8743,8520,8385,8240,8461
i10,20820,27960,5,23420,23805,23625,150.54,12.49,13.47,14.34,23535,23710,23420,23805,23655
i11,25938,30960,5,26870,27339,26982.6,200.5,3.59,4.03,5.4,26870,26873,26909,27339,26922
i12,12430,15690,5,14438,14748,14581.6,120.64,16.15,17.31,18.65,14438,14748,14592,14497,14633
i13,17328,25321,5,21406,22214,21828,313.36,23.53,25.97,28.2,21812,22033,21675,21406,22214
i14,9746,14305,5,11912,12257,12133.4,134.65,22.22,24.5,25.76,12181,12257,12110,12207,11912
i15,12486,20016,5,16446,16738,16547.6,118.96,31.72,32.53,34.05,16446,16738,16448,16548,16558
i16,10139,16247,5,13053,16127,15012.6,1272.0,28.74,48.07,59.06,13053,14510,15348,16025,16127
i17,40535,64695,5,57610,58920,58286,509.5,42.12,43.79,45.36,58265,57610,58020,58615,58920
i18,37660,48250,5,41897,42498,42313.8,243.67,11.25,12.36,12.85,42322,42498,41897,42474,42378
i19,44587,59297,5,62933,65707,64517.8,1012.37,41.15,44.7,47.37,64394,65707,64886,62933,64669
i20,29098,40670,5,35278,38434,36253.4,1270.33,21.24,24.59,32.08,35842,35493,35278,36220,38434
i21,24703,37577,5,33443,33758,33569.4,127.69,35.38,35.89,36.66,33481,33635,33758,33530,33443
i22,47861,90583,5,75005,76985,76335.8,792.55,56.71,59.49,60.85,76859,75005,76545,76285,76985
i23,37550,50114,5,54059,55089,54619.8,442.89,43.97,45.46,46.71,55089,55037,54564,54059,54350
i24,33221,43565,5,40009,40699,40406,273.88,20.43,21.63,22.51,40498,40257,40567,40009,40699
i25,11517,17113,5,15441,15756,15632.8,116.68,34.07,35.74,36.81,15634,15756,15441,15677,15656
i26,64613,105376,5,94623,97641,95498.2,1232.45,46.45,47.8,51.12,97641,94769,95373,94623,95085
i27,51828,99090,5,83818,86176,84773.2,976.26,61.72,63.57,66.27,83944,83818,86176,84671,85257
i28,75172,88291,5,83392,84846,83999.8,619.74,10.93,11.74,12.87,84294,84067,83400,83392,84846
i29,12475,22443,5,16924,18283,17758.2,557.73,35.66,42.35,46.56,16924,18283,17464,18106,18014
i30,37943,48141,5,48261,49212,48569,421.52,27.19,28.01,29.7,48314,49212,48261,48788,48270
