instance,random_violations,random_cost,random_time_s,aco_violations,aco_cost,aco_time_s,improvement_abs,improvement_pct
i01,0,4833,271.587,0,4330,554.550,503,10.41
i02,0,1960,551.307,0,1901,554.007,59,3.01
i03,0,11675,334.024,0,11150,555.060,525,4.50
i04,0,4590,551.613,0,4658,555.127,-68,-1.48
i05,0,16596,551.238,0,15904,551.882,692,4.17
i06,0,11744,551.301,0,11465,552.131,279,2.38
i07,0,8595,554.029,0,8064,552.666,531,6.18
i08,0,13199,553.879,0,16877,552.653,-3678,-27.87
i09,0,10212,553.873,0,10275,551.625,-63,-0.62
i10,0,29400,554.016,0,27630,552.199,1770,6.02
i11,0,31039,551.592,0,29900,552.172,1139,3.67
i12,0,17345,551.216,0,16455,551.746,890,5.13
i13,0,25879,551.359,0,23856,554.932,2023,7.82
i14,0,15551,551.249,0,13922,554.836,1629,10.48
i15,0,22453,552.473,0,20280,555.165,2173,9.68
i16,0,18287,552.615,0,15920,555.170,2367,12.94
i17,0,74330,552.720,0,65765,552.286,8565,11.52
i18,0,50519,552.536,0,47592,552.766,2927,5.79
i19,0,80118,553.947,0,79081,552.500,1037,1.29
i20,0,42876,553.788,0,40114,552.632,2762,6.44
i21,0,42533,553.862,0,37236,554.788,5297,12.45
i22,0,95334,553.965,0,85405,555.326,9929,10.41
i23,0,67848,551.839,0,67627,555.017,221,0.33
i24,0,44425,551.687,0,42477,555.361,1948,4.38
i25,0,19285,551.865,0,16722,552.781,2563,13.29
i26,0,107646,551.330,0,103732,552.822,3914,3.64
i27,0,106586,553.961,0,97948,552.890,8638,8.10
i28,0,90065,553.876,0,86910,552.783,3155,3.50
i29,0,23126,551.333,0,20476,552.835,2650,11.46
i30,0,58804,551.491,0,56546,552.455,2258,3.84
