instance,random_violations,random_cost,aco_violations,aco_cost,improvement_abs,improvement_pct,best_oficial,gap_aco_pct,gap_random_pct
i01,0,4833,0,4465,368,7.61,3842,16.22,25.79
i02,0,1960,0,1880,80,4.08,1264,48.73,55.06
i03,0,11675,0,10860,815,6.98,10490,3.53,11.30
i04,0,4590,0,4882,-292,-6.36,1884,159.13,143.63
i05,0,16596,0,15396,1200,7.23,12760,20.66,30.06
i06,0,11744,0,11440,304,2.59,10671,7.21,10.06
i07,0,8595,0,7948,647,7.53,5026,58.14,71.01
i08,0,13199,0,17378,-4179,-31.66,6291,176.24,109.81
i09,0,10212,0,10306,-94,-0.92,6682,54.24,52.83
i10,0,29400,0,27395,2005,6.82,20820,31.58,41.21
i11,0,31039,0,29125,1914,6.17,25938,12.29,19.67
i12,0,17345,0,16497,848,4.89,12430,32.72,39.54
i13,0,25879,0,23362,2517,9.73,17328,34.82,49.35
i14,0,15551,0,13859,1692,10.88,9746,42.20,59.56
i15,0,22453,0,19762,2691,11.99,12486,58.27,79.83
i16,0,18287,0,15778,2509,13.72,10139,55.62,80.36
i17,0,74330,0,65640,8690,11.69,40535,61.93,83.37
i18,0,50519,0,47543,2976,5.89,37660,26.24,34.14
i19,0,80118,0,80363,-245,-0.31,44587,80.24,79.69
i20,0,42876,0,39340,3536,8.25,29098,35.20,47.35
i21,0,42533,0,37578,4955,11.65,24703,52.12,72.18
i22,0,95334,0,83617,11717,12.29,47861,74.71,99.19
i23,0,67848,0,68078,-230,-0.34,37550,81.30,80.69
i24,0,44425,0,41397,3028,6.82,33221,24.61,33.73
i25,0,19285,0,16970,2315,12.00,11517,47.35,67.45
i26,0,107646,0,103045,4601,4.27,64613,59.48,66.60
i27,0,106586,0,92631,13955,13.09,51828,78.73,105.65
i28,0,90065,0,86206,3859,4.28,75172,14.68,19.81
i29,0,23126,0,20176,2950,12.76,12475,61.73,85.38
i30,0,58804,0,56955,1849,3.14,37943,50.11,54.98
